model,train_minibatches,snr,ser_mean,ser_ci95,n_reps,bits_run,model_size,run_time_sec
ViterbiTransformerV3,25,7,0.036553338217735286,0.0007148809365433011,20,40000,7248,1059.0
ViterbiTransformerV3,50,7,0.03718000493049622,0.0006542335767032156,20,40000,7248,1100.1
ViterbiTransformerV3,13,7,0.03846000497341155,0.0008510984239863466,20,40000,7248,860.1
ViterbiTransformerV3,37,7,0.036596671366691584,0.0008119545258253162,20,40000,7248,1061.1
ViterbiTransformerV3,19,7,0.03712667152881622,0.0006971764509714313,20,40000,7248,907.2
ViterbiTransformerV3,31,7,0.03739667241573334,0.0008418933855045258,20,40000,7248,973.8
ViterbiTransformerV3,22,7,0.03694667108058929,0.0006486126341130772,20,40000,7248,1011.9
ViterbiTransformerV3,28,7,0.036930004692077634,0.0007335166263422036,20,40000,7248,987.1
ViterbiNet,25,7,0.03045000109672546,0.001006257758622346,20,40000,7002,337.0
ViterbiNet,50,7,0.03060666842460632,0.0008683968955770948,20,40000,7002,357.3
ViterbiNet,13,7,0.030216668367385863,0.000992273408536354,20,40000,7002,332.2
ViterbiNet,37,7,0.03151000151634216,0.0008549632234840977,20,40000,7002,340.8
ViterbiNet,7,7,0.030376668596267697,0.0008625498063069052,20,40000,7002,336.1
ViterbiNet,19,7,0.03104333493709564,0.001055567902474281,20,40000,7002,336.9
ViterbiNet,10,7,0.030293334293365483,0.001099726698956219,20,40000,7002,341.3
ViterbiNet,16,7,0.030403334712982184,0.0009414626901908556,20,40000,7002,335.0
ViT,25,7,0.11262999949455262,0.003114773356409864,20,40000,7376,215.9
ViT,50,7,0.10249999940395356,0.002829476938938484,20,40000,7376,263.0
ViT,75,7,0.10882666687965392,0.0018908424972005572,20,40000,7376,388.0
ViT,100,7,0.10963999946117402,0.0027159121026008896,20,40000,7376,434.5
ViT,38,7,0.10525666584968565,0.0024286964400183327,20,40000,7376,356.2
ViT,62,7,0.1041066664457321,0.0021001960666823445,20,40000,7376,412.4
ViterbiTransformerV4,25,7,0.03563333847522736,0.0007250156809535746,20,40000,6880,1048.5
ViterbiTransformerV4,50,7,0.03627667162418365,0.0005820689786886138,20,40000,6880,1013.6
ViT,44,7,0.1023299987077713,0.003516206230557416,20,40000,7376,378.8
ViT,56,7,0.10241999902725221,0.0028215514570310235,20,40000,7376,398.3
ViT,41,7,0.10721666576862335,0.002697310753653446,20,40000,7376,366.2
ViT,47,7,0.10721666605472564,0.0027856816435821545,20,40000,7376,375.4
ViterbiTransformerV4,13,7,0.03679000527858734,0.0006234402517781752,20,40000,6880,989.7
ViterbiTransformerV4,37,7,0.036376671695709226,0.0008715149215629747,20,40000,6880,1093.2
ViterbiTransformerV4,19,7,0.03640667152404785,0.000877097238870689,20,40000,6880,4326.3
ViterbiTransformerV4,31,7,0.035970004773139955,0.0006954712654042384,20,40000,6880,6504.8
