model,snr,final-ser,model-size,model-run-time
Transformer,7,0.04308329423268636,6960,231.88293862342834
ViterbiNet,7,0.03561107416947683,7002,136.3838827610016
Transformer,8,0.025583303570747375,6960,371.4653170108795
ViterbiNet,8,0.01922219753265381,7002,184.8821542263031
Transformer,9,0.014749979972839356,6960,475.3604600429535
ViterbiNet,9,0.009444427092870076,7002,236.84968161582947
Transformer,10,0.007583323121070862,6960,588.3410754203796
ViterbiNet,10,0.005305545330047607,7002,242.20037007331848
Transformer,11,0.0033333285649617514,6960,657.3271586894989
ViterbiNet,11,0.001833329200744629,7002,265.6493866443634
Transformer,12,0.0010833315054575602,6960,668.9203054904938
ViterbiNet,12,0.0005833321809768677,7002,267.8663909435272
Transformer,13,0.0004888881842295329,6960,2941.6568772792816
ViterbiNet,13,0.003788886547088623,7002,1119.9148817062378
Transformer,14,9.999990463256836e-05,6960,5873.004051208496
ViterbiNet,14,0.00018333295981089274,7002,2250.3107540607452
Transformer,7,0.041027740438779194,6960,227.0605456829071
ViterbiNet,7,0.031583295663197834,7002,137.36637139320374
Transformer,8,0.027833302021026612,6960,312.4944751262665
ViterbiNet,8,0.020166641275087993,7002,177.26722073554993
Transformer,9,0.013166650334993998,6960,474.74194073677063
ViterbiNet,9,0.00933331827322642,7002,228.11695528030396
Transformer,10,0.006638878981272379,6960,626.3759090900421
ViterbiNet,10,0.00347221573193868,7002,267.0222284793854
Transformer,11,0.0030277733008066813,6960,630.8941853046417
ViterbiNet,11,0.0016111077864964802,7002,265.1328430175781
Transformer,12,0.0011388870080312093,6960,658.6586005687714
ViterbiNet,12,0.0003333324193954468,7002,271.6992301940918
Transformer,13,0.00029999959468841555,6960,2977.452385187149
ViterbiNet,13,0.004311108311017354,7002,949.8280725479126
Transformer,14,9.444429477055868e-05,6960,5627.877565860748
ViterbiNet,14,0.0003777768810590108,7002,1908.1071264743805
Transformer,7,0.03977773944536845,6960,215.5724356174469
ViterbiNet,7,0.03311107456684113,7002,118.41984486579895
Transformer,8,0.02577774922053019,6960,314.45980525016785
ViterbiNet,8,0.01874997357527415,7002,154.67193913459778
Transformer,9,0.013527761101722718,6960,453.6219460964203
ViterbiNet,9,0.010249983469645183,7002,190.07788968086243
Transformer,10,0.007583321730295817,6960,543.5506091117859
ViterbiNet,10,0.004138880769411723,7002,217.81756496429443
Transformer,11,0.0029999959468841554,6960,603.3132288455963
ViterbiNet,11,0.00172221839427948,7002,227.11657691001892
Transformer,12,0.0012777755657831828,6960,630.3065140247345
ViterbiNet,12,0.000805554191271464,7002,229.28110694885254
Transformer,13,0.00032777746518452964,6960,2831.0535600185394
ViterbiNet,13,0.0010666651328404744,7002,967.4559638500214
Transformer,14,5.277770757675171e-05,6960,5606.732183218002
ViterbiNet,14,0.00279999703168869,7002,1856.4867689609528
Transformer,7,0.03949996292591095,6960,235.85160279273987
ViterbiNet,7,0.03316662867863973,7002,114.18711137771606
Transformer,8,0.02466663916905721,6960,330.44606018066406
ViterbiNet,8,0.018611085017522178,7002,162.64837789535522
Transformer,9,0.014138869643211364,6960,453.46870374679565
ViterbiNet,9,0.008611095746358237,7002,201.40633273124695
Transformer,10,0.007777767578760783,6960,538.4872663021088
ViterbiNet,10,0.00455554723739624,7002,218.48813486099243
Transformer,11,0.0033055500189463297,6960,602.7612252235413
ViterbiNet,11,0.00141666313012441,7002,231.08386206626892
Transformer,12,0.0011388874053955078,6960,629.7812819480896
ViterbiNet,12,0.00041666547457377116,7002,233.8951416015625
Transformer,13,0.00034999938805898033,6960,2831.9038178920746
ViterbiNet,13,0.0005388875404993693,7002,977.5453681945801
Transformer,14,4.999987284342448e-05,6960,5619.943783044815
ViterbiNet,14,0.0031944417357444763,7002,1871.452412366867
