model,snr,final-ser,model-size,model-run-time
Transformer,15,0.00012654291258917913,6960,316.9701898097992
ViterbiNet,15,0.00012654258145226372,7002,198.73407363891602
Transformer,16,4.320979118347168e-05,6960,283.4367415904999
ViterbiNet,16,5.555530389149984e-05,7002,195.88226866722107
Transformer,17,2.469129032558865e-05,6960,279.09891629219055
ViterbiNet,17,1.234557893541124e-05,7002,196.08508157730103
Transformer,15,9.259237183464898e-05,6960,279.75309681892395
ViterbiNet,15,0.00016666577921973334,7002,202.53931403160095
Transformer,16,0.00011111080646514893,6960,279.6073362827301
ViterbiNet,16,3.7036869260999894e-05,7002,197.62581205368042
Transformer,17,1.5432039896647137e-05,6960,278.06903553009033
ViterbiNet,17,1.8518368403116862e-05,7002,196.57602453231812
Transformer,15,0.00019753025637732612,6960,282.1949460506439
ViterbiNet,15,0.0002006163862016466,7002,204.28369522094727
Transformer,16,4.320979118347168e-05,6960,278.1886610984802
ViterbiNet,16,0.00010185148980882433,7002,196.45659756660461
Transformer,17,1.5432039896647137e-05,6960,281.39559864997864
ViterbiNet,17,2.160489559173584e-05,7002,199.28565645217896
Transformer,15,7.407380474938286e-05,6960,280.62385272979736
ViterbiNet,15,8.950571219126384e-05,7002,197.3402316570282
Transformer,16,9.876509507497152e-05,6960,277.29551100730896
ViterbiNet,16,6.172809335920546e-05,7002,196.1868143081665
Transformer,17,1.5432039896647137e-05,6960,278.1195409297943
ViterbiNet,17,1.8518434630499947e-05,7002,197.009929895401
Transformer,15,8.024679289923774e-05,6960,278.3397538661957
ViterbiNet,15,0.00012962917486826578,7002,196.84125924110413
Transformer,16,2.777768505944146e-05,6960,299.180956363678
ViterbiNet,16,4.629605346255832e-05,7002,198.52336716651917
Transformer,17,5.24690416124132e-05,6960,281.4141352176666
ViterbiNet,17,2.469129032558865e-05,7002,197.64130544662476
Transformer,15,7.098747624291314e-05,6960,284.8049705028534
ViterbiNet,15,0.00010493788454267714,7002,205.29891967773438
Transformer,16,2.469129032558865e-05,6960,279.1816396713257
ViterbiNet,16,6.172809335920546e-05,7002,196.66989135742188
Transformer,17,3.395054075453016e-05,6960,278.254159450531
ViterbiNet,17,3.0864013565911186e-05,7002,197.19504356384277
Transformer,15,6.481462054782444e-05,6960,280.7788245677948
ViterbiNet,15,8.950584464603e-05,7002,197.31602096557617
Transformer,16,5.5555436346266003e-05,6960,277.5162253379822
ViterbiNet,16,8.950577841864691e-05,7002,196.8980851173401
Transformer,17,1.8518434630499947e-05,6960,278.21225810050964
ViterbiNet,17,3.7036869260999894e-05,7002,198.45364594459534
Transformer,15,3.395047452714708e-05,6960,279.38897609710693
ViterbiNet,15,8.641938368479411e-05,7002,197.0536892414093
Transformer,16,7.716033193800184e-05,6960,278.99796414375305
ViterbiNet,16,2.777768505944146e-05,7002,197.39483261108398
Transformer,17,4.3209724956088595e-05,6960,279.4444510936737
ViterbiNet,17,2.4691224098205566e-05,7002,226.25963592529297
Transformer,15,8.024679289923774e-05,6960,279.6126744747162
ViterbiNet,15,0.00010185142358144124,7002,203.92020893096924
Transformer,16,1.5432039896647137e-05,6960,278.3551905155182
ViterbiNet,16,4.629605346255832e-05,7002,196.2381513118744
Transformer,17,1.5432039896647137e-05,6960,278.8891167640686
ViterbiNet,17,1.5432039896647137e-05,7002,196.42449426651
Transformer,15,7.716026571061876e-05,6960,278.67188000679016
ViterbiNet,15,0.00012654278013441298,7002,196.92116856575012
Transformer,16,2.4691224098205566e-05,6960,277.5132050514221
ViterbiNet,16,8.33329889509413e-05,7002,197.60558819770813
Transformer,17,2.469129032558865e-05,6960,277.218807220459
ViterbiNet,17,2.1604829364352757e-05,7002,198.2469825744629
Transformer,15,4.012333022223579e-05,6960,280.90763211250305
ViterbiNet,15,0.00011728346347808838,7002,199.18409848213196
Transformer,16,2.777768505944146e-05,6960,290.9749405384064
ViterbiNet,16,2.777768505944146e-05,7002,199.53164196014404
Transformer,17,5.246897538503011e-05,6960,280.16770911216736
ViterbiNet,17,3.0864013565911186e-05,7002,224.96382856369019
Transformer,15,0.00011728352970547146,6960,278.9769103527069
ViterbiNet,15,0.0002901223633024428,7002,224.17887663841248
Transformer,16,1.2345645162794326e-05,6960,279.0850706100464
ViterbiNet,16,4.629611968994141e-05,7002,197.35269212722778
Transformer,17,1.2345645162794326e-05,6960,277.61435079574585
ViterbiNet,17,6.17278946770562e-06,7002,197.70969533920288
Transformer,15,4.3209724956088595e-05,6960,280.44930601119995
ViterbiNet,15,0.00013271550337473552,7002,198.6397795677185
Transformer,16,0.00012345645162794325,6960,277.1304540634155
ViterbiNet,16,7.098727756076389e-05,7002,196.7252552509308
Transformer,17,1.2345645162794326e-05,6960,279.80008578300476
ViterbiNet,17,1.234557893541124e-05,7002,201.63383889198303
Transformer,15,0.0002407401137881809,6960,278.61123609542847
ViterbiNet,15,0.00033024569352467856,7002,197.20873999595642
Transformer,16,7.716033193800184e-05,6960,278.19748282432556
ViterbiNet,16,2.4691224098205566e-05,7002,197.06884264945984
Transformer,17,1.2345645162794326e-05,6960,278.13696908950806
ViterbiNet,17,9.259250428941514e-06,7002,196.98124170303345
Transformer,15,7.098747624291314e-05,6960,279.2644634246826
ViterbiNet,15,0.00027469012472364636,7002,196.806138753891
Transformer,16,5.5555436346266003e-05,6960,278.51368737220764
ViterbiNet,16,7.407380474938286e-05,7002,196.87684535980225
Transformer,17,7.716026571061876e-05,6960,276.29157876968384
ViterbiNet,17,6.17278946770562e-06,7002,197.04791712760925
Transformer,15,0.0001018515560362074,6960,278.6440315246582
ViterbiNet,15,0.00010802427927652994,7002,199.7146282196045
Transformer,16,1.2345645162794326e-05,6960,278.6658718585968
ViterbiNet,16,8.33329889509413e-05,7002,197.43330121040344
Transformer,17,2.4691356552971733e-05,6960,277.69993138313293
ViterbiNet,17,2.777768505944146e-05,7002,196.7029914855957
Transformer,15,5.864183108011882e-05,6960,277.3511002063751
ViterbiNet,15,0.0002654310729768541,7002,196.72599458694458
Transformer,16,4.93825806511773e-05,6960,276.20164251327515
ViterbiNet,16,7.716013325585259e-05,7002,197.12389659881592
Transformer,17,9.259250428941514e-06,6960,276.5990078449249
ViterbiNet,17,1.851850085788303e-05,7002,196.4619483947754
Transformer,15,6.790094905429416e-05,6960,279.21359729766846
ViterbiNet,15,0.00020370284716288248,7002,222.96063661575317
Transformer,16,1.5432039896647137e-05,6960,276.8146867752075
ViterbiNet,16,6.172815958658855e-05,7002,197.0813148021698
Transformer,17,9.259250428941514e-06,6960,279.224844455719
ViterbiNet,17,3.7036869260999894e-05,7002,200.9093987941742
Transformer,15,8.333312140570746e-05,6960,278.2508397102356
ViterbiNet,15,0.0001172833972507053,7002,198.3300747871399
Transformer,16,3.7036935488382975e-05,6960,278.6997332572937
ViterbiNet,16,7.098741001553006e-05,7002,198.72759127616882
Transformer,17,0.0,6960,277.8521966934204
ViterbiNet,17,2.4691224098205566e-05,7002,197.19965291023254
Transformer,15,0.0001049380169974433,6960,291.84352350234985
ViterbiNet,15,0.00013271550337473552,7002,238.75739669799805
Transformer,16,8.641958236694337e-05,6960,289.8905725479126
ViterbiNet,16,8.333292272355821e-05,7002,196.8450198173523
Transformer,17,2.469129032558865e-05,6960,278.9365074634552
ViterbiNet,17,3.7036869260999894e-05,7002,200.54294514656067
Transformer,15,7.098754247029623e-05,6960,280.5134177207947
ViterbiNet,15,7.40736722946167e-05,7002,201.28551936149597
Transformer,16,1.2345645162794326e-05,6960,287.3568630218506
ViterbiNet,16,8.641944991217719e-05,7002,210.04809045791626
Transformer,17,0.0,6960,280.1765158176422
ViterbiNet,17,6.17278946770562e-06,7002,198.0054075717926
Transformer,15,8.950597710079617e-05,6960,280.3799295425415
ViterbiNet,15,0.00018827080726623534,7002,200.8789517879486
Transformer,16,4.012333022223579e-05,6960,277.59552454948425
ViterbiNet,16,6.481448809305827e-05,7002,200.3395619392395
Transformer,17,3.0864079793294274e-05,6960,277.5416464805603
ViterbiNet,17,4.629611968994141e-05,7002,197.34165573120117
Transformer,15,0.00012037012312147352,6960,281.29885697364807
ViterbiNet,15,0.0003672823641035292,7002,208.37104725837708
Transformer,16,1.8518434630499947e-05,6960,281.63946175575256
ViterbiNet,16,8.024646176232233e-05,7002,197.16553044319153
Transformer,17,1.2345645162794326e-05,6960,280.848934173584
ViterbiNet,17,4.01232639948527e-05,7002,203.40222597122192
Transformer,15,0.00013580216301812065,6960,280.25258207321167
ViterbiNet,15,9.259210692511664e-05,7002,204.59802913665771
Transformer,16,2.1604829364352757e-05,6960,278.3812334537506
ViterbiNet,16,4.01232639948527e-05,7002,205.22447752952576
Transformer,17,0.00013271570205688476,6960,278.4697000980377
ViterbiNet,17,3.395047452714708e-05,7002,201.79858875274658
Transformer,15,7.407380474938286e-05,6960,280.9289755821228
ViterbiNet,15,9.567856788635254e-05,7002,205.87752985954285
Transformer,16,0.00016975257131788467,6960,281.65251564979553
ViterbiNet,16,6.790088282691107e-05,7002,198.0832395553589
Transformer,17,1.5432039896647137e-05,6960,279.0729238986969
ViterbiNet,17,9.259250428941514e-06,7002,200.70745468139648
Transformer,15,5.24690416124132e-05,6960,278.5337200164795
ViterbiNet,15,6.481455432044135e-05,7002,219.88181853294373
Transformer,16,6.172822581397162e-05,6960,278.19073724746704
ViterbiNet,16,4.3209592501322425e-05,7002,227.11114382743835
Transformer,17,5.5555436346266003e-05,6960,278.10773253440857
ViterbiNet,17,3.395047452714708e-05,7002,197.50170159339905
Transformer,15,5.246890915764703e-05,6960,279.2179718017578
ViterbiNet,15,0.00010185142358144124,7002,201.6984157562256
Transformer,16,2.1604829364352757e-05,6960,278.84219098091125
ViterbiNet,16,5.246897538503011e-05,7002,196.03740096092224
Transformer,17,4.320979118347168e-05,6960,278.6362442970276
ViterbiNet,17,4.629611968994141e-05,7002,201.2119517326355
Transformer,15,0.00010802427927652994,6960,279.3467411994934
ViterbiNet,15,0.0001172833310233222,7002,199.41684484481812
Transformer,16,1.5432039896647137e-05,6960,278.9570276737213
ViterbiNet,16,4.320965872870551e-05,7002,196.83756136894226
Transformer,17,0.0,6960,280.1207711696625
ViterbiNet,17,2.7777618832058376e-05,7002,197.7199318408966
Transformer,15,4.012333022223579e-05,6960,280.0539960861206
ViterbiNet,15,0.00018827074103885225,7002,203.17218923568726
Transformer,16,1.8518434630499947e-05,6960,282.1769425868988
ViterbiNet,16,6.481462054782444e-05,7002,198.2423219680786
Transformer,17,2.469129032558865e-05,6960,279.59418749809265
ViterbiNet,17,4.938244819641113e-05,7002,197.39094066619873
Transformer,15,0.0001450613472196791,6960,278.27787947654724
ViterbiNet,15,0.00017283889982435438,7002,196.542644739151
Transformer,16,3.7036869260999894e-05,6960,277.93396258354187
ViterbiNet,16,4.9382514423794214e-05,7002,196.73774552345276
Transformer,17,6.17278946770562e-06,6960,276.34624767303467
ViterbiNet,17,1.8518434630499947e-05,7002,196.93923664093018
Transformer,15,9.567863411373563e-05,6960,277.62439012527466
ViterbiNet,15,0.0001172833972507053,7002,204.40964245796204
Transformer,16,9.567863411373563e-05,6960,277.4306871891022
ViterbiNet,16,3.0864013565911186e-05,7002,203.60632014274597
Transformer,17,0.0,6960,276.6037573814392
ViterbiNet,17,1.8518434630499947e-05,7002,196.8841347694397
Transformer,15,5.864183108011882e-05,6960,278.8353703022003
ViterbiNet,15,0.00015432026651170517,7002,218.45727849006653
Transformer,16,7.716026571061876e-05,6960,278.2330918312073
ViterbiNet,16,1.8518368403116862e-05,7002,197.06053400039673
Transformer,17,2.469129032558865e-05,6960,277.8669936656952
ViterbiNet,17,1.8518434630499947e-05,7002,201.55337524414062
Transformer,15,0.00019135733445485432,6960,279.0637490749359
ViterbiNet,15,8.33329889509413e-05,7002,202.0076687335968
Transformer,16,2.777768505944146e-05,6960,278.21732664108276
ViterbiNet,16,8.641938368479411e-05,7002,197.65158557891846
Transformer,17,8.641951613956028e-05,6960,278.7551951408386
ViterbiNet,17,1.851850085788303e-05,7002,197.42850756645203
Transformer,15,4.320979118347168e-05,6960,284.65719056129456
ViterbiNet,15,0.00010185148980882433,7002,206.12860465049744
Transformer,16,9.259243806203207e-05,6960,278.31499886512756
ViterbiNet,16,4.012319776746962e-05,7002,199.02714014053345
Transformer,17,3.7036935488382975e-05,6960,277.74611258506775
ViterbiNet,17,3.7036869260999894e-05,7002,198.38796138763428
Transformer,15,6.172829204135471e-05,6960,278.9490144252777
ViterbiNet,15,0.00016357945071326363,7002,198.03720545768738
Transformer,16,1.2345645162794326e-05,6960,278.5283434391022
ViterbiNet,16,4.629605346255832e-05,7002,197.72066807746887
Transformer,17,0.0,6960,276.9648380279541
ViterbiNet,17,6.17278946770562e-06,7002,201.40698504447937
Transformer,15,7.098741001553006e-05,6960,280.3334650993347
ViterbiNet,15,0.0002623446782430013,7002,238.89837884902954
Transformer,16,4.9382514423794214e-05,6960,277.8212778568268
ViterbiNet,16,4.3209724956088595e-05,7002,198.84367203712463
Transformer,17,2.469129032558865e-05,6960,276.76948595046997
ViterbiNet,17,6.17278946770562e-06,7002,201.13288855552673
Transformer,15,5.555537011888292e-05,6960,280.07479763031006
ViterbiNet,15,7.716019948323568e-05,7002,200.9220564365387
Transformer,16,2.469129032558865e-05,6960,277.51199412345886
ViterbiNet,16,8.333305517832438e-05,7002,196.51363372802734
Transformer,17,0.0,6960,276.9188857078552
ViterbiNet,17,2.160489559173584e-05,7002,198.10306859016418
Transformer,15,7.098741001553006e-05,6960,278.3946018218994
ViterbiNet,15,8.024659421708849e-05,7002,197.13994479179382
Transformer,16,0.00020678970548841687,6960,276.68836998939514
ViterbiNet,16,7.098727756076389e-05,7002,196.45403909683228
Transformer,17,9.259250428941514e-06,6960,277.78551149368286
ViterbiNet,17,3.0864079793294274e-05,7002,201.15230131149292
