model,snr,final-ser,model-size,model-run-time
Transformer,15,0.0,6960,19.783965826034546
ViterbiNet,15,0.0,7002,10.799215316772461
Transformer,16,0.0,6960,29.912546634674072
ViterbiNet,16,0.0,7002,29.41206455230713
Transformer,17,0.0,6960,14.285675287246704
ViterbiNet,17,0.0,7002,14.569327354431152
Transformer,15,0.0,6960,13.312923669815063
ViterbiNet,15,0.0,7002,11.666736125946045
Transformer,16,0.0,6960,28.913668394088745
ViterbiNet,16,0.0,7002,29.046308994293213
Transformer,17,0.0,6960,15.066728353500366
ViterbiNet,17,0.0,7002,14.382036924362183
