model,snr,final-ser,model-size,model-run-time
Transformer,7,0.048444402813911436,6960,123.90237665176392
ViterbiNet,7,0.036499961018562316,7002,75.96206974983215
Transformer,8,0.033861074844996134,6960,125.04611158370972
ViterbiNet,8,0.026055522362391153,7002,68.36518549919128
Transformer,9,0.021416643261909486,6960,117.34118342399597
ViterbiNet,9,0.0145555313428243,7002,68.32873129844666
Transformer,10,0.012749982873598735,6960,133.67658829689026
ViterbiNet,10,0.009666648507118226,7002,72.32312369346619
Transformer,11,0.0053055471181869505,6960,120.38643836975098
ViterbiNet,11,0.005055545568466186,7002,71.20211338996887
Transformer,7,0.049555513660113015,6960,115.99443674087524
ViterbiNet,7,0.034166630109151205,7002,66.88961887359619
Transformer,8,0.03519440809885661,6960,117.80793786048889
ViterbiNet,8,0.027444411913553873,7002,67.9414439201355
Transformer,9,0.024499971270561218,6960,115.85914254188538
ViterbiNet,9,0.01680552661418915,7002,64.72556185722351
Transformer,10,0.013055540124575297,6960,116.17179679870605
ViterbiNet,10,0.009555539290110271,7002,65.27787804603577
Transformer,11,0.0057777700821558635,6960,112.70645761489868
ViterbiNet,11,0.007055541078249614,7002,63.554277658462524
Transformer,7,0.04749995986620585,6960,113.24994230270386
ViterbiNet,7,0.0326944096883138,7002,63.769737243652344
Transformer,8,0.03644440631071726,6960,112.59826636314392
ViterbiNet,8,0.023166636824607848,7002,63.48726558685303
Transformer,9,0.02255553086598714,6960,113.0594482421875
ViterbiNet,9,0.01733330766359965,7002,63.77061057090759
Transformer,10,0.01416664977868398,6960,112.88515448570251
ViterbiNet,10,0.008666650652885436,7002,63.63949251174927
Transformer,11,0.005499991774559021,6960,113.19342112541199
ViterbiNet,11,0.005805544058481852,7002,64.08849310874939
Transformer,7,0.05058329304059347,6960,112.49802303314209
ViterbiNet,7,0.03608329733212789,7002,63.58848810195923
Transformer,8,0.03438885351022085,6960,112.43806076049805
ViterbiNet,8,0.02524996757507324,7002,63.51994848251343
Transformer,9,0.024194415807724,6960,112.53031253814697
ViterbiNet,9,0.013833311398824056,7002,63.68974184989929
Transformer,10,0.013638871312141419,6960,112.66100549697876
ViterbiNet,10,0.010083317756652832,7002,63.62390327453613
Transformer,11,0.005499991377194723,6960,112.88257813453674
ViterbiNet,11,0.005861097971598307,7002,63.755046367645264
Transformer,7,0.047777737180391945,6960,115.89833283424377
ViterbiNet,7,0.03486107250054677,7002,68.20084977149963
