receiver,params,es_n0_db,ser,symbol_errors,symbols,M,L,rho,pilot_words,pilot_iters,online_iters,adapt,frames
classic_csi,0,0,0.40576171875,74790,184320,4,3,0.99,1,200,,dd,64
classic_ls,7,0,0.4775444878472222,88021,184320,4,3,0.99,1,200,,dd,64
tied@5,7,0,0.5479112413194445,100991,184320,4,3,0.99,1,200,5,dd,64
tied@10,7,0,0.5552408854166667,102342,184320,4,3,0.99,1,200,10,dd,64
affine@10,192,0,0.7118598090277778,131210,184320,4,3,0.99,1,200,10,dd,64
mlp@10,9934,0,0.7340603298611111,135302,184320,4,3,0.99,1,200,10,dd,64
classic_csi,0,2,0.2846625434027778,52469,184320,4,3,0.99,1,200,,dd,64
classic_ls,7,2,0.3343315972222222,61624,184320,4,3,0.99,1,200,,dd,64
tied@5,7,2,0.4229329427083333,77955,184320,4,3,0.99,1,200,5,dd,64
tied@10,7,2,0.4196506076388889,77350,184320,4,3,0.99,1,200,10,dd,64
affine@10,192,2,0.6847601996527778,126215,184320,4,3,0.99,1,200,10,dd,64
mlp@10,9934,2,0.7284233940972222,134263,184320,4,3,0.99,1,200,10,dd,64
classic_csi,0,4,0.21357964409722222,39367,184320,4,3,0.99,1,200,,dd,64
classic_ls,7,4,0.270654296875,49887,184320,4,3,0.99,1,200,,dd,64
tied@5,7,4,0.3426052517361111,63149,184320,4,3,0.99,1,200,5,dd,64
tied@10,7,4,0.34188910590277777,63017,184320,4,3,0.99,1,200,10,dd,64
affine@10,192,4,0.6543402777777778,120608,184320,4,3,0.99,1,200,10,dd,64
mlp@10,9934,4,0.71796875,132336,184320,4,3,0.99,1,200,10,dd,64
classic_csi,0,6,0.14100477430555555,25990,184320,4,3,0.99,1,200,,dd,64
classic_ls,7,6,0.19596354166666666,36120,184320,4,3,0.99,1,200,,dd,64
tied@5,7,6,0.24163953993055556,44539,184320,4,3,0.99,1,200,5,dd,64
tied@10,7,6,0.2442654079861111,45023,184320,4,3,0.99,1,200,10,dd,64
affine@10,192,6,0.6502007378472222,119845,184320,4,3,0.99,1,200,10,dd,64
mlp@10,9934,6,0.7105848524305556,130975,184320,4,3,0.99,1,200,10,dd,64
classic_csi,0,8,0.08771158854166666,16167,184320,4,3,0.99,1,200,,dd,64
classic_ls,7,8,0.1301812065972222,23995,184320,4,3,0.99,1,200,,dd,64
tied@5,7,8,0.15757378472222222,29044,184320,4,3,0.99,1,200,5,dd,64
tied@10,7,8,0.16056857638888888,29596,184320,4,3,0.99,1,200,10,dd,64
affine@10,192,8,0.6199978298611111,114278,184320,4,3,0.99,1,200,10,dd,64
mlp@10,9934,8,0.6973307291666667,128532,184320,4,3,0.99,1,200,10,dd,64
