topology,params,train_minibatches,online_iters,snr,ser_mean,ser_ci95,n_reps,bits_run,run_time_sec
affine,32,25,200,7,0.024380000591278074,0.00198138905972777,20,40000,2725.4
4,88,25,200,7,0.026486666893959048,0.0009057372157052891,20,40000,2781.9
8,160,25,200,7,0.02643000099658966,0.0005565943916884252,20,40000,425.5
16,304,25,200,7,0.02729333426952362,0.0006228006558252165,20,40000,412.8
32,592,25,200,7,0.02783666806221008,0.0005819303335739025,20,40000,411.7
64,1168,25,200,7,0.027746667671203616,0.0005767436449595528,20,40000,415.4
affine,32,25,5,7,0.03680333733558654,0.0011698126759012658,20,40000,1550.5
affine,32,25,10,7,0.030500001931190495,0.00200721721586584,20,40000,1625.0
8-8,232,25,200,7,0.02872000176906586,0.00047498168028244477,20,40000,2752.6
16-16,576,25,200,7,0.028816668033599852,0.0008698947459035722,20,40000,2736.2
100-58,7002,25,5,7,0.023863334107398985,0.0005614169454176325,20,40000,1904.0
100-58,7002,25,10,7,0.02513000078201294,0.0007654107219419016,20,40000,2243.9
32-16,864,25,200,7,0.029426668047904964,0.0008589549325487112,20,40000,2200.8
100-58,7002,25,200,7,0.03028333466053009,0.0010440379725026494,20,40000,2581.9
affine,32,2,200,7,0.03436000077724457,0.010696424248022035,20,40000,1739.0
affine,32,5,200,7,0.029656667208671567,0.007772509885517258,20,40000,1773.7
affine,32,10,200,7,0.027413333821296692,0.005086191859169916,20,40000,1545.1
affine,32,25,0,7,0.036653337383270264,0.0007357259804597873,20,40000,348.5
affine,32,25,25,7,0.028990001010894773,0.003086164643987913,20,40000,543.0
affine,32,25,50,7,0.025186667442321776,0.002200720179097043,20,40000,657.0
affine,32,25,100,7,0.024406666851043705,0.0016198650681944024,20,40000,823.2
100-58,7002,2,200,7,0.03056000113487243,0.0010226240860652048,20,40000,2706.7
100-58,7002,5,200,7,0.03125000166893006,0.0008811846488873213,20,40000,2505.9
100-58,7002,10,200,7,0.029356667971611024,0.0007856762120395562,20,40000,2174.6
100-58,7002,25,0,7,0.03264000248908997,0.0007897902021990896,20,40000,381.1
100-58,7002,25,25,7,0.026773334336280825,0.000772359933060101,20,40000,598.5
100-58,7002,25,50,7,0.02706666750907898,0.0007766297776201338,20,40000,861.0
100-58,7002,25,100,7,0.028506667852401735,0.0008530760177600116,20,40000,1029.5
